Companyname;CVR;Telefonnumre
I/S Lægerne Fisketorvet 6. sal;27015417;
Samosa House v/Masooma Iftikhar;27017495;
HUSTEDVIN ApS;27026192;
Toms Auto- & Industrilakering v/Tom Rasmussen;27027733;
Kebab House v/Ekrem Bilgin;27028322;
BANKE INVEST ApS;27032311;
Gl Kirstineberg v/Lars J Hvidtfeldt Nielsen;26563488;
EL-BUTIKKEN ODDER A/S;27034926;
NIMASO ApS;27043437;
M M Anlæg v/Mikael Ditlev Moesgaard;27045901;
BYGGESTEEN ApS;26580757;
Fiber Trans;26583128;
Erik Rasmussen;27048951;
CGLM Ejendomme ApS;26583314;
Gåsetorvets Gjæstgiveri;27051626;
Læge Thore Eriksen v/ Thore Hammer Eriksen;27053122;
BROLÆGGEREN ApS;27057780;
Tandlægeselskabet Thøgersen & Trier I/S;27061125;
Hou Pizza v/Kamaran Ibrahimi;27061834;
Frederiksberg Diner Transportable v/Kenneth Kjærulf;27062792;
TAGARNO A/S;26584582;
J.K.J STÅLTEKNIK ApS;27071031;
Søren Hansen;26599245;
Restaurant Kædeby Caféen;27074286;
Hårsnedkeriet v/Sussi Nielsen;26601037;
Per Schmidt;26613620;
B.B. BYG JUELSMINDE ApS;26629268;
DVK af 31.12.2024 A/S;26631815;
PORT-TRADE ApS;27092918;
Taxavognmand Benny Hjorth Pedersen;27094384;
O. SØNDERGAARD & SØNNER A/S;26633087;
NORDMORS MURERFORRETNING ApS;26653274;
Fehrs & Co Fond;27108318;
Tulip Timeout;26654181;
DERMATOLOGISK LASERKLINIK ApS;26662761;
PINTXOS ApS;26662974;
DANISH PORK MEAT ApS;27116124;
Energi Fyn Energihandel A/S;27116469;
Mae Pen;26663504;
BIOSYNERGY A/S;26664845;
ECR CENTER KØBENHAVN A/S;26665531;
Morsø Dyreklinik;27119492;
FLEXI WELL ApS;26213924;
Helle Holm udlejning;27122175;
Danrevi Løgstør;27125611;
ALBERTSLUND VVS ApS;27132111;
Miljøpunkt Nørrebro;27136346;
GRAM MURERFORRETNING ApS;27160131;
Bambino Pizza v/Resat Pekdemir;26217032;
LV ASSISTANCE ApS;27161219;
Klippinge Taxa/Stevns Taxa v/Henning Stich;26235014;
Special-Butikken Herning A/S;27165109;
BORN GRAFISK TRYK ApS;27169457;
Spisehuset Ali Baba v/Mehmet Bülbül;26235731;
AK Smedeteknik;26242088;
Blume Regnskab;26246482;
BLJ Gulventreprise ApS;26711916;
Frivilligcenter Herning;27188990;
Stenbrogård v/Niels B Sørensen;26713773;
Hr Lars Engbæk Nielsen;27191010;
Otterup Fysioterapi og Træningsklinik I/S;26717175;
A.J Service v/Anders Ove Jørgensen;27199097;
Brdr. Futterup I/S v/Bo og Bjarne R. Futterup;27199844;
Khawand Pizzaria & Grillbar - Mona Hassoun;26719798;
Quick Autoservice;26721830;
Bøgegården/Jørgen Schmidt;27209270;
BoligPortal A/S;26722535;
SKJØT CONSULTING ApS;27219098;
Koert Van Der Sluis;27219594;
ALU-TECHNOLOGIES A/S;27225497;
CLAYTON A/S;27225829;
NORDIC SEED A/S;27229379;
B & W ApS;27231780;
KIROPRAKTISK KLINIK NYKØBING F. ApS;27239188;
Elektroservice.DK ApS;27240348;
Arild Grue Lidin;27242588;
SØHOLT HOVEDGÅRD A/S;27249884;
Nemt & Bekvemt;27253571;
ÖZDEMIR ApS;26740959;
OPEN TEXT A/S;27256597;
BOLIG.DK ApS;27258948;
Farum Kiropraktisk Klinik;27259960;
D.A.M. A/S;26748429;
AROS REGNSKAB ApS;26752191;
Støtteforeningen FHH;26755913;
PROTOTYPEN.DK ApS;27268927;
CHR. OLESEN NUTRITION A/S;27270883;
SAABYG ApS;26767601;
AH Autolak Administration ApS;27278353;
Brøndby Boligselskab;26769027;
Vitus Berings Plads ApS;26776260;
Læge Bjarne Lauritsen;26778875;
Elite Køb;27288405;
FYRTÅRNET Selvejende inst.;26779634;
TRINDKJÆRGÅRD I/S;26783798;
BJERRINGBRO EL-FORRETNING ApS;27295649;
Vallem Maskintransport v/ Danny Vallem;26787920;
Stig Abildgaard;26807603;
Fysioterapeuterne Bryggergården;26812941;
BREDEBJERGGÅRD SVINEPRODUKTION ApS;26831652;
Tage Vanggaard og Hustrus Fond;26835127;
Pastabro;27330967;
Fischer - Psykiatrisk Klinik Vejle;27332129;
Tivolihallen v/Helle Halkjær Vogt;26850266;
Peter Værum;26890802;
Ejendomsfællesskabet Østerågade 20 1. I/S;26907829;
WL Gore & Associates Scandinavia AB;27341357;
NTO A/S;27240607;
3E Denmark ApS;26916003;
KG. MARK ApS;27158072;
BP Ståldesign;26923107;
Bibendum København K ApS;26925142;
Godthåbsvej v/Allan B. Jensen;27131522;
TANDLÆGECENTRET VIBORG I/S;27348238;
NIAM ApS;26938635;
På Bjerget v/Kristian Kjær;26952832;
KL KØLETEKNIK v/Lars Holse;27362982;
JØNI AABYBRO ApS;27364748;
LAURSEN & HORNEMANN ApS;27366643;
Hong Kong Grill & Bistro v/Zhenhua Chen;27370322;
Holte Lægehus;27375979;
Drej Ind - Jels Pølsehus;26953553;
KLINISK TANDTEKNIK ApS;27382290;
Café Viella;26956382;
ONAT SHIPPING ApS;26987539;
OSKARS BUD- & FLYTTEFORRETNING ApS;26987857;
Advokatfirmaet Strauss & Garlik I/S;27404634;
SMEDE- & BLIKKENSLAGERMESTER PER MORTENSEN A/S;26989183;
TEAM TOLSTRUP MASKINER ApS;26992362;
Orelund A/S;26992648;
GRANLY DIESEL A/S;26992877;
P+P ARKITEKTER A/S;26994829;
MICHLAR ApS;26995485;
BoxKnox ApS;27435262;
IDEXX LABORATORIES DANMARK ApS;26996279;
Jacoba Egholm Hansen;27000177;
Øjenklinikken Frederiksberg;27001572;
M.F. Gulvmontering v/Mikkel Funder Bjørnsholm Olsen;27460410;
I/S Lindegård-Leif og Max Philipp;27003338;
PUK`s Hjemmehjælp I/S;27461174;
Landbrug Torben Thomsen;27463177;
Kurt Jakobsen;27003958;
DAUDING SMEDE- & MASKINFABRIK ApS;27465617;
BE TEKNIK ApS;27465625;
PHØNIX TAG ESBJERG A/S;27465781;
År 2000 Postfonden;27009735;
Cafe Road House v/Daniel Youseff;27032567;
Frisør Karina;27470866;
LA BAR KØBENHAVN ApS;27048021;
CL Ejendomme;27480373;
Mors Pizzeria v/Nader Peyman;27485626;
Læge Anette Henriksen;27489079;
BYENS GRØNTTORV FREDERICIA ApS;27491227;
Carolinas Apartments ApS;27048447;
Café John Wayne;27049427;
HANSENS FRUGT OG GRØNT ApS;27070981;
AKD EJENDOMME A/S;27492991;
Lægerne Vallensbæk Stationstorvet;27503063;
Ballerup Ejendomsservice og Polering;27072054;
ARNE FÆRCH TRANSPORT ApS;27507549;
PNEUMATICS ApS;27508413;
RADIOMETER MEDICAL ApS;27509185;
ROVSING CONSULTING ApS;27515096;
ELNA IZARD F. VESTERGAARDS FOND;27517455;
Howden Realkreditrådgivning ApS;27077048;
BACK-OFFICE ApS;27080987;
KLINIK FOR AUTORISEREDE FYSIOTERAPEUTER ØLGOD ApS;27524664;
TESS Danmark A/S;27527108;
læge Henrik Willemoes Larsen;27530494;
Mardin Food v/Celal Ahmet;27082246;
Læge Claus Gregers Petersen;27536700;
TANDLÆGERNE VED PEBLINGESØEN ApS;27090826;
JUMBO SALES DIVISION US ApS;27096565;
Cantinos Pizzabar v/Yalcin Celik;27101739;
Lundgaard Smedie v/Karsten Lundgaard Andresen;27542794;
Taxavognmand Henrik Jensen;27546188;
Det Socialpsykiatriske Botilbud Huset Trappebæksvej S/I;27109683;
DB ANDERSEN & PARTNERE ApS;27550169;
NORDISK STAAL A/S;27113141;
CHICAGO ROASTHOUSE HERLEV ApS;27559352;
Lyhne Service;27561837;
The Kebab v/ Hasan Fener;27564151;
Dania Trading Odense ApS;27115373;
BORING HØJSKOLEGÅRD A/S;27577539;
Lotte Tønder Udlejning;27116639;
Asian Restaurant Fredericia;27586163;
TC OXLUND A/S;27118402;
Karl Johan Buur ApS;27590349;
KONSUL POUL KORCHS FOND;27592112;
Hans Chr. Jensen;27595995;
SEQURE ApS;27119220;
SIND - Landsforeningen for psykisk sundhed;27119719;
TANDLÆGE TINA BÆKGAARD ApS;27607594;
HALSVEJ 235 ApS;27607721;
CAMP-RENT ApS;27617646;
FMJ Transport & Trucking v/Frank M Jensen;26669758;
PL EL-INSTALLATION AF 2004 A/S;27620523;
AUTO- MARINEHJØRNET ApS;26670993;
Vestergade 1 v/Britta Larsen;27626416;
VOGNMAND PREBEN ANDERSEN ApS;26674336;
ZEBICON A/S;26674867;
2CHUBBY ApS;27645097;
Nordentoft ApS;27647707;
HEIDIS BIER-BAR ApS;27647952;
PhLink ApS;27648193;
DYREKLINIKKEN RUNGSTEDVEJ ApS;26677084;
JULIE DAMMS STUDIEFOND;26693012;
A/S SVEND JENSENS FRAGTRUTER VEJLE;27655904;
Guldkronen v/Charlotte Rasmussen;27657249;
Nysted Erhvervs- og Turistforening;27664318;
HB PRODUCTS A/S;26693934;
Mk-skadedyr;27665799;
Rødvig Central v/Anders Willads Daugaard;27666841;
Sedgwick Danmark A/S;26694280;
BACH INT. ApS;27672388;
Arne og Lasse Rasmussen I/S;27675336;
ADVENTURE DK ApS;27676057;
DK-Låseservice I/S;27679048;
KL. SPECIALSERVICE A/S;26694299;
Vikagulve;27684955;
Restaurant Cocco Bello Randers;27190464;
Skovbakkegård;27193048;
DK Resi Propco Gothersgade 5A m.fl. K/S;27203175;
DanHatch Special A/S;27208975;
E-Transport;27699596;
PETLAND ApS;27216811;
Tandstøberiet v/Kirsten Isager;27256236;
CMI COMPANY ApS;27260934;
TPR-GROUP ApS;27264107;
TANDREGULERINGSHUSET I/S;27265790;
NTP BYG;27707661;
Nytorv Lægeklinik v/ Dennis Staahltoft;27719473;
MURERMESTRENE JOHANSEN & BODHOLDT ApS;27276172;
L G Jensen v/Håkon Guldbrand Lavindsgaard;27282423;
Stoffer´s Auto Claus B Olsen;27283659;
GÅRDEJER VAGN BRÆDDER;27287913;
LISELUNDFONDET;27292518;
ANDERSEN MOTORS A/S;27295444;
SAFE SHIPPING A/S;27300294;
Sunds Pizza og Kebab House v/Tufan Karabulut;27304184;
GALTEN KIROPRAKTISK KLINIK ApS;27308465;
FOREX FILIAL AF FOREX AB SVERIGE;27748562;
Phønix Tag København-Nordsjælland A/S;27749828;
ABENA GROUP MARKETING ApS;27311032;
New York - Pizza Grill Mulla Kücük;27311202;
AKTIESELSKABET BG SERVICE CENTER;27757979;
Empire Medical Solutions;27759068;
Hugos Pizzaria;27338178;
Brobygårds Køkken;27340504;
Doneros Herlev;27340830;
T-TOTALRENOVERING A/S;27231837;
HEY;27157904;
Ejendomme v/Henrik Møller;27155898;
Øster Haunstrup v. Niels Haunstrup;27349692;
Toms Oyster Shack ApS;27350313;
Papas Pizzaria og Grill House 2;27379052;
TULLAMORE ApS;27383866;
JOHNSENS METALTEKNIK A/S;27386849;
Reina Pizza & Restaurant;27391362;
Byens Kiropraktor v/Stine Hougaard;27405819;
Storm - Nordgård/ Lars Storm;27408427;
Rådgiver Henrik Ladefoged;27409067;
Lindner SE;27802516;
Gigantic Pretty Wonders;27413501;
Det Lille Bageri v/Gitte Buus Larsen;27418724;
Xpress Kebab I/S;27811965;
Jørgen Lassen;27823335;
JAS INVEST ApS;27429912;
Andelsboligforeningen Axel Heides Gård;27832091;
Søren Astrup Madsen;27841376;
A.L. Transport v/Allan Jensen og Lisette Rasch;27858597;
Dyrlægevirksomhedernes Arbejdsgiverforening;27858619;
Dalhus v/Keld Hjort;27858864;
Kaffekanden;27866425;
RYK-FONDEN TIL VARETAGELSE AF REGISTRERING OG YDELSESKONTROL;27446477;
Kalundborg Symbiose;27884598;
Enghavegaard Agro;27888240;
AgroEast A/S;27450768;
Ved Kajen I/S;27898580;
FRIIS-A/S;27911730;
Tandlægerne Lars Ølund Larsen & Thomas Juel Koll I/S;27453899;
Lægerne Brabrandhus I/S;27461085;
FERROFOSS ApS;27465471;
PHØNIX TAG HOLBÆK - NÆSTVED A/S;27465870;
KOMPLEET BYGNING & INVENTAR A/S;27921183;
Emdrup Living ApS;27923283;
SAVOY HOTEL A/S;27924476;
ARNBORG KLEINSMEDIE A/S;27468624;
L-TEK A/S;27931170;
A/S HOSTRUP;27931952;
FUR BRYGHUS ApS;27479197;
YAT ApS;27491871;
WINTHER ENGROS ApS;27960685;
RND PARTNER REGISTRERET REVISIONSANPARTSSELSKAB;27492487;
ERTECO RUBBER & PLASTICS DANSK FILIAL AF ERTECO RUBBER & PLASTICSAB;27962815;
CAFÉ OG RESTAURANT FRIENDS ApS;27963021;
VALBY MURERFORRETNING ApS;27492770;
Marole I/S v/Ole og Martin Kok-Hansen;27503802;
VILS TEGLOVERLIGGERE A/S;27519881;
ULTRALYD OG RØNTGENKLINIKKEN ApS;27523110;
Lynge Byg ApS;27969003;
Breeuwsma I/S;27532446;
Pizza Chanti v/Serap Atlas;27539629;
AAA ApS;27541550;
VILLINGSHØJ & MESSERSCHMIDT KLIMATEKNIK ApS;27976859;
Tandlægerne Silkeborgvej 297 ApS;27980368;
Cosmo 20 ApS;27981003;
ENVII ApS;27981135;
VETCUR BIOTEC ApS;27984274;
Cafe Viggo v/Sascha Ismael;27541836;
GR888 ApS;27984665;
VESTAS MANUFACTURING A/S;27988210;
UVDATA A/S;27988954;
Wilder Komplementar A/S;27989209;
Gadevang Vandværk AmbA;27996116;
CPH Flower Delivery;28004761;
TWIN HEAT A/S;27549012;
Øreklinikken Søborg v/ Bettina Berner;28006756;
Lunderskov Pizza Kebab House v/ Uthayakumar Tharmalingam;27554407;
GRUND E/F NÆS & SKAVERUP STRAND;28013310;
Læge Eva Skov Hansen;28031785;
GASTRONOMI EXPRESSEN ApS;27564259;
Birktoft I/S;27577636;
Mads Vallø;28039190;
Tandlægerne Lone Stouby Dencker og Camilla Høgh Knudsen I/S;28045352;
Henrik Holst Studio;27587704;
Ude-Bo;28053495;
Frisør Mie K;28056729;
Mona Lisa;28063393;
Lisbeths Pandekager v/Lisbeth R Christoffersen;28064047;
Centre Palace;27598684;
DESIGN BY US ApS;28100809;
NORTHERN HORIZON A/S;27599397;
HOTEL PHØNIX HJØRRING ApS;28103336;
TANDTEKNIKEN KALODENT ApS;28105533;
Skødstrup Tandklinik ApS.;28106661;
PXMSOFT A/S;28108168;
SALON DINES ApS;28109733;
Ejendomsselskabet Katkjærvej 10 Skive A/S;28109997;
SCAN-TECH HANDEL & MONTAGE ApS;27618227;
HELA INVEST ApS;27625495;
ELKJÆRS LAK-SKADECENTER ApS;28114206;
MARYS VEJLE ApS;28115245;
Vindingholm Malerforretning v/Frank Nedergaard Kirkelund;27629423;
HATTING TØMRER- OG SNEDKERFORRETNING ApS;27630170;
VÆKST & MILJØ A/S;27649661;
ANKERS SKIBSSERVICE ApS;28122144;
CHR. RASMUSSEN TANDLÆGEANPARTSSELSKAB;28125569;
Nedrivx;28133510;
TERUMO DENMARK FILIAL AF TERUMO SWEDEN AB;27652808;
Birgitte Frederiksen Videbæk;27160646;
Taxi Vognmand Jan Schou Jørgensen;27164102;
SKANLUX BYG ApS;27172210;
Admiralen;27173144;
KAPEMA THISTED A/S;28151489;
FORUM HORSENS FONDEN;28153325;
SØGAARDS BRYGHUS ApS;27665411;
VINDINGVEJ MÆLKEPRODUKTION ApS;28159293;
INTERTEC A/S;27672167;
HEDENSTED VANDVÆRK;27174116;
Speciallæge Geert T. Espersen;27183999;
ERIK OG MARTHA SCHEIBELS LEGAT;28167016;
I/S Østergaard V/ Per T. Østergaard & Boe T. Østergaard;28173415;
FysioDanmark Sønderborg I/S v/Esben Bruhn og Christian Dirksen;28178670;
Søren Bonde Larsen;28181051;
Læge Randi Ellingsgaard;28182244;
Jørn Friis Møller;28188323;
LEMVIG HAVN/LEMVIG KOMMUNE;28189052;
Jørgen Winkler;28196024;
Gyldenholm Gods;28197365;
Landbrug v/Klaus Sørensen;28202490;
Frømajgård;28203098;
Plastikkirurgisk Speciallægeklinik v/Abdul Tareen;28203780;
CREMO INGREDIENTS A/S;27688470;
TØMRERHUSET ApS;27693830;
BAS KRANER A/S;27694977;
Quick Bistro v/Helal N Hassan;27700179;
LINDESKOV ApS;27705111;
Mae West v/Trine Birkerod;27705480;
TOFTLUND MURERFORRETNING ApS;27706479;
Vores Cafe & Pizzaria v/Pulenthirarajah Ponnuthurai;28212755;
Fonden Bofællesskabet Rosenhøj;28216750;
INGENIØR WILLIAM JULIUS IZARD OG HUSTRU ELNA POLLY F. IZARDS VELGØRENHEDSFOND;28224923;
Riis I/S v/Christen og Lars Riis;28229852;
Tandlægerne Apotekergaarden v/Lene Søberg;28236042;
Gelsted Tømrer&Snedker v/Johnny Larsen;28237480;
Martin Rehhoff Madsen;28239939;
CN Svagstrømsteknik v/Martin Busk;28240694;
Morten Mejlvang;28245513;
Frisør Willy v/Gitte Falk;28246579;
Bystrup I/S v/ Grethe Bystrup & Abigail Pate;28246765;
Modesaxen v/Lonnie Nøhr/Vibeke Skov;27706622;
Impulskompagniet ApS;27731791;
BRDR. HENRIKSEN A/S;27734979;
DK Kraner ApS;27736971;
miniSERVIETTEN;27737536;
Café v/Luan Bregu;27739741;
Rungsted Agro ApS;27742459;
Søren Søndergaard;27743498;
SANDOZ A/S;27744532;
DENT SUPPORT A/S;27746020;
Restaurant Østergade 1 I/S;27756018;
Nyhavn Else Sand Nielsen;27756700;
GLAD ApS;28287275;
NV3 ApS;28287402;
IS NORDIC TEST ApS;27759343;
JUUL & NIELSEN VEST A/S;28291922;
FARVECENTER NORD A/S;28294395;
ALTRU ApS;28295413;
IGUZZINI ILLUMINAZIONE DANMARK FILIAL AF IGUZZINI ILLUMINAZIONE S.P.A. ITALIEN;28295995;
Frederikssund Tandteknik ApS;28297289;
SKELDAL PRODUKTION A/S;28297335;
Skejby-Lisbjerg Ungdomsklub;27759726;
TANDLÆGE MORTEN SKOV HANSEN ApS;27760201;
FR. DAHLGAARD A/S VANDVÆRKSINDUSTRI;28299044;
SK TRANSPORT ApS;27761518;
REBÆK PIZZA;27761976;
Lægerne I Skårup I/S;27763529;
MELDGAARD TRANSPORT A/S;28303963;
Godfred Birkedal Hartmanns Familiefond;27773370;
DENLUX A/S;28305494;
HORSENS MURER- OG ENTREPRENØRFORRETNING A/S;28305958;
BOLIG VEST 2004 ApS;28308671;
Heimstaden Vesterhavnen 10-12 ApS;28309775;
Vognhjulet v/Peder Bech Nielsen;27775462;
EJENDOMSSELSKABET CASA NORD ApS;27776027;
Læge Gitta Kofod Beyer;27778496;
Rossen Ejendomme ApS;27778704;
GRØNNING SMEDE- OG MASKINFORRETNING K/S;28315740;
MINI MASKINER OG BETON ApS;28317301;
Kim Gulvmand v/Kim Fisker;27783929;
Ellesgård v/ Jacob Svendsen;27795560;
CHRISTENSEN & KJÆR STATSAUTORISERET REVISIONSAKTIESELSKAB;28320124;
LASER TECH SERVICES A/S;28321392;
Peter Horsdal;27799612;
If Forsikringscenter Esbjerg;27800041;
alutoys v/Claus Otto Lose;27809847;
Følle Strandgaard v/ Marie Louise Ebdrup;27810721;
Kristian Christiansen;27826636;
TANDLÆGE JAN GIROTTI ApS;28326998;
Marcussen - Gulvteknik;27884547;
Zafaran v/Ali Dadras;27895654;
C. NOBEL TØMMERHANDEL HUNDESTED P/S;28332939;
MURERFIRMAET K. WICHMANN ApS;28335431;
Det Italienske Bøfhus v/Ecevit Han Andersen;28349203;
Tandlæge Karina Møller Steenberg;28355122;
Ejendomsselskabet Skelvænget ApS;27914969;
Arend Metties Hingstman;28359918;
A. A. RUSTFRI KLEINSMEDIE ApS;27915132;
Tobis Cafe v/Tobias Faber;27915191;
TANDPROTETIKEREN ODENSE C ApS;27918182;
LMT Transport v/Jesper Kjærsgaard;28398026;
SCANDINAVIAN AIRCRAFT TECHNOLOGIES A/S;27926592;
Dan Ellebæk Klausen;28403836;
Anpartsselskabet Cnuf;27956149;
VION DENMARK ApS;27960103;
Frisør Lenette Dam Vixø;28416318;
M. NØRGAARD-LARSEN A/S;27962327;
Aqua Service Erhvervsrengøring v/ Gert Filtenborg;28429673;
Troels Bjørn;28431694;
SPECIALLÆGE LARS SØMOD SURGYCARE ApS;27964745;
WORSØE ApS;27964842;
MIDTJYDSK MASKINSTATION A/S;27966187;
Royal ved Anette & Frank Carstensen;28443951;
KLINIK FOR FYSIOTERAPI HOLBERGSGADE 13 (AUTORISERET FYSIOTERAPEUT) ApS;27966640;
EWII Fibernet A/S;27970036;
VDL BUS & COACH DANMARK A/S;27972551;
Mammas Specialiteter v/Morten Hald Madsen;28475284;
Cafe Sepps;28476957;
AABENBAR ApS;28479484;
CLIMATIC A/S;27976468;
LM ISOLERING ApS;28482744;
Frugt & Grønt Totalpak A/S;28483295;
Marksman;28484690;
DECISION FOCUS ApS;27984584;
ITAVIS SERVICES ApS;28487983;
Kuruki Sushi;28006470;
CHRISTINA DESIGN LONDON ApS;28491999;
Dresslab Silkeborg;28007574;
Bjarke Martensen;28038135;
EMS Euro-multiservice S.Rustemovski;28038186;
JK METAL ApS;28507496;
BYENS DEPOT ØL & VAND ApS;28509197;
DALUX ApS;28509839;
Gigtforeningens Oplysnings Kreds;28048599;
KYNER & CO. ApS;28099177;
SANCON ApS;28517653;
Rartsted;28522452;
LERSKOV MASKINSTATION A/S;28101767;
RESTAURANT LILLERING SKOV ApS;28110650;
HM Service I/S;28532458;
GM TRADING ApS;28111193;
Gynækologisk Klinik Vejle v/Gitte Glavind;28537638;
Tandlægerne Kejlstrupvej 5 I/S;28538227;
Pizzamix;28539975;
Tandlægerne i Klarup I/S Steen Petri Petersen og Carlo Pedersen;28558767;
Torben Tatarczuk;28559305;
Tandlæge Ole Zeilau Thorsted;28559666;
PÅ HAVNEN ApS;28115660;
KA 10 ApS;28117183;
DISCOWAX ApS;28118503;
TEI Aviation ApS;28135173;
Energi Fyns Udviklingsfond;28580533;
Energi Fyns Almene Fond;28580541;
Marqus Pizza 2024;28143826;
Kongensbro Kro v/C Andersen;28590245;
Korsmosegård v/Martin Buus;28603312;
Lægehuset Banegårdspladsen 6 I/S;28608640;
SIMONSEN TØMRER- OG SNEDKERFORRETNING A/S;28148127;
LEBARA Denmark ApS;28148631;
Carsten Stig Ottosen;28626932;
DOXX Hundecenter;28630123;
GACELL A/S;28151187;
TREKANTENS DYRLÆGER ApS;28159234;
3D DENTAL ApS;28159439;
COBiler;28160445;
Logsted.dk v/Tom Løgsted;28165528;
OM Pork A/S;27682332;
HANDEST MURER & ENTREPRENØR ApS;27687482;
HN Udlejning V/Henrik S. Nielsen;28207514;
MIDTJYSK MASKINMONTERING ApS;28654219;
Wewers Betonproduktion Mårum A/S;28654812;
Grevlunds Autolak;28208138;
LEN-TEAM ApS;28656440;
BLAKSKJÆR MANAGEMENT A/S;28658044;
PMJ AGRO ApS;28661584;
Peter Jacobsen;28209045;
BRH GULVE ApS;28662726;
TANDLÆGE ANNE SCHANTZ ApS;28664583;
Ørslevkloster Hovedgård v/Rasmus Boudigaard;28209223;
Thomas Meldgaard;28210043;
Info-Teria Piberhus Øst;28212038;
Børnehaveklasseforeningen;28680619;
ALL GRAPHIC A/S;28682506;
HUNSEBY SMEDIE ApS;28687133;
Spillopen;28252374;
FOLKMANN VVS ApS;28697147;
Læge Pernille Ewé;28258453;
Pizza Express;28259212;
JAKOB & PARTNERS ApS;28701632;
MW-1 A/S;28704429;
Anders Lundsgaard;28259220;
SAS Klubben v/Michael Sørensen;28259786;
Jesper Fjordside;28260806;
Aalborg bilsyn v/Thomas Rasmussen;28261969;
øre/næse/hals-læge Bramstoft;28264615;
RABforum;28819277;
Interessentskabet Lindqvist og Laustrup;28821603;
CAFA Center for afklarende og forebyggende socialt arbejde;28264917;
I/S Aarup v/Christian og Claus Aarup;28274599;
BL GRAFISK ApS;28278675;
Hybehus Plejecenter afd 50201 Serviceareal Hybehus;28822081;
K.S. Auto v/ Kristoffer S Ellehede;28823061;
HOLSE & WIBROE A/S;28281439;
Sandkassens Grill & Vaffelbageri v/Helge Knudsen;28825188;
Bjørholm Holstein v/Morten Nielsen;28829590;
Ole Moesgård Andersen;28830262;
Familiecafeen Thai Take Away;28832451;
N.D.O. Byggeservice v/ Nicolai Dalby Kaaber;28833806;
Becker Service v/Thomas B. Jørgensen;28835914;
Dena A/S;28840616;
PUBLICO KOMMUNIKATION ApS;28841876;
INWIDO DENMARK A/S;28843615;
RENÉ & JOHN FREDERIKSEN ApS;28289863;
EUROFINS MILJØ A/S;28848196;
JCB Ejendomme I ApS;28853505;
TOTAL RENT.DK ApS;28297661;
EWII A/S;28297947;
MARTIN PAPE ApS AUT. KLOAKMESTER & ENTREPRENØR;28859627;
KOLDING INSTRUMENT SERVICE ApS;28860390;
GOLDEN HOUSE ApS;28300255;
WERTHS EL ApS;28302398;
MASKEN BAR OG CAFÉ ApS;28861524;
FENSMARK FYSIOTERAPI ApS;28862555;
JACOBSEN & WINDING A/S;28302606;
ASNÆS MASKINSNEDKERI ApS;28304285;
BETZER & SØN ApS;28309864;
DANSK VANDTEKNOLOGI A/S;28312202;
FIRSTFARMS A/S;28312504;
CHRISTIANIA RÅDGIVNING ApS;28315295;
KNUD KIRKEGAARD ApS;28318251;
Frederiks smede og montage A/S;28318286;
Amstrup DPL ApS;28321562;
EGEDE BYG ApS;28323263;
MIDTLAK ApS;28323522;
LARSEN & NØRAGER ApS;28324146;
RØRBÆK BILER A/S FREDERIKSHAVN;28324537;
MAXI-ISOLERING ApS;28327811;
BERGMANNS MONTAGE ApS;28331231;
N.G. Kring Nicolai Gjerulff Kring;28904762;
Hotel Outrup v/ Marianne Staal;28907419;
Palja Ejendomsservice v/Oli Hans Pauli Jacobsen;28912773;
Pizza & Kebab House v/Ziya Celik Clemmensen;28358857;
Bakkely v/Niels Westh;28924747;
BBO I ApS;28371306;
Læge Ida Louise Bach;28384955;
Gammelgaard Agro;28390033;
Spin doc development v/Brian Jensen;28937636;
Orøgaard-Enghaven Vandværk A.m.b.a.;28402228;
Lars Pedersen;28406029;
Den Lille Havfrue v/Randi Hansen;28945604;
Pizza Åbyhøj v/Shorsh Omar Ahmad;28950985;
Yellow Tape;28415060;
Kiropraktor Niels Tindhof;28416741;
Tandlægerne ved Søerne I/S;28439148;
Peter Niss;28439806;
Centergrill v/Mevlüt Senel;28440057;
Kei Too v/Thomas Bond;28455844;
TRADESMAN ApS;28977859;
Heimstaden Frederikssundsvej ApS;28984936;
BENDTSEN RENGØRING ApS;28984944;
TS Warehouse ApS;28985487;
Kvadrat Acoustics A/S;28989520;
Aut.el-installatør Lars Lundsgaard v/Lars Lundsgaard;28456794;
Marsbjerg Vind v/Henrik Rosengaard Bæk;28467435;
Ølstauan;28998767;
Rødme Nygård  v/Søren Hansen;29000778;
Hans Erik Brink;29001065;
Årøsund Bådebyggeri og Bedding;29002088;
Rødovre Centrum Tandlæge- og implantat Center V/Tandlæge Ulrik Juhl;29002436;
Pinocchio;29003467;
WESTERGAARD & SØN ApS;28480210;
Memoro v/Søren E. Jensen;29019665;
Yggdrasil v/ Ask Bohr;29023999;
Allan´s Diner v/Allan Jensen;29024006;
Jesper Lousdal;29026939;
DANVA Dansk Vand- og Spildevandsforening;29031215;
ROCHE DIAGNOSTICS A/S;28485085;
FABRIKSEJER CIVILINGENIØR LOUIS DREYER MYHRWOLD OG HUSTRU JANNE MYHRWOLDS FOND;29049211;
Krosnes v/Pia Bertelsen;29052301;
SCAN-CHINA PROMOTION ApS;28489455;
Jerlevgård;29074798;
Thy Turistråd;29075778;
Claus & Mette Krogsgaard;29098379;
Oskar Nedbrydning ApS;28492693;
City Kebabhouse;29101027;
Frederiksberg Forsynings Serviceselskab A/S;28500769;
